GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebAndCloud,counters,TheGlobalCounter,88,0,2,0,27,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},54,0,2,0,14,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},47,0,2,0,12,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},63,0,2,0,16,0,3,0,2,0
WebAndCloud,foo,PrefixServlet,146,0,8,0,32,0,8,0,4,0
WebAndCloud,foo,FriendQuery,99,0,2,0,17,0,3,0,2,0
WebAndCloud,foo,FriendServlet,80,0,4,0,17,0,4,0,2,0
WebAndCloud,foo,PrefixClean,51,0,2,0,12,0,3,0,2,0
WebAndCloud,foo,Counting.new Runnable() {...},62,0,2,0,13,0,3,0,2,0
WebAndCloud,foo,FriendBlockServlet,105,0,6,0,21,0,5,0,2,0
WebAndCloud,foo,HelloAppEngine,3,69,0,0,2,15,0,3,0,3
WebAndCloud,foo,CountingTR.new Runnable() {...},84,0,4,0,22,0,4,0,2,0
WebAndCloud,foo,OneTupleTR,138,0,4,0,30,0,5,0,3,0
WebAndCloud,foo,CountingTR,106,0,4,0,26,0,5,0,3,0
WebAndCloud,foo,PostMessage,3,0,0,0,1,0,1,0,1,0
WebAndCloud,foo,PetitionQuery,121,0,4,0,26,0,4,0,2,0
WebAndCloud,foo,RandomResult,9,0,0,0,3,0,1,0,1,0
WebAndCloud,foo,CountingSh.new Runnable() {...},89,0,4,0,19,0,4,0,2,0
WebAndCloud,foo,MsgIndex,200,0,4,0,37,0,4,0,2,0
WebAndCloud,foo,PrefixQuery,253,0,8,0,49,0,6,0,2,0
WebAndCloud,foo,CountingSh,132,0,8,0,28,0,6,0,2,0
WebAndCloud,foo,ScoreEndpoint,422,0,20,0,96,0,23,0,13,0
WebAndCloud,foo,Consistency,144,0,6,0,39,0,6,0,3,0
WebAndCloud,foo,UsersServlet,33,0,2,0,13,0,3,0,2,0
WebAndCloud,foo,OneTupleTR.new Runnable() {...},109,0,2,0,26,0,3,0,2,0
WebAndCloud,foo,TestTransaction,70,0,4,0,15,0,4,0,2,0
WebAndCloud,foo,PetitionServlet,178,0,10,0,36,0,7,0,2,0
WebAndCloud,foo,Counting,103,0,4,0,25,0,4,0,2,0
